feature_order,paper_feature_name,phonova_summary_column,phonova_output_file,feature_family,family_label,paper_feature_set,output_level,sentiment_related,notes,mapping_status
1,speech_length_minutes,speech_length_minutes,summary-level CSV from speech_characteristics / extract_paper_features.py,structure_timing,Timing / participation / dialogue structure,paper_82,summary,False,,same column name in Phonova summary schema
2,speech_length_words,speech_length_words,summary-level CSV from speech_characteristics / extract_paper_features.py,structure_timing,Timing / participation / dialogue structure,paper_82,summary,False,,same column name in Phonova summary schema
3,words_per_min,words_per_min,summary-level CSV from speech_characteristics / extract_paper_features.py,structure_timing,Timing / participation / dialogue structure,paper_82,summary,False,,same column name in Phonova summary schema
4,syllables_per_min,syllables_per_min,summary-level CSV from speech_characteristics / extract_paper_features.py,structure_timing,Timing / participation / dialogue structure,paper_82,summary,False,,same column name in Phonova summary schema
5,mean_pre_word_pause,mean_pre_word_pause,summary-level CSV from speech_characteristics / extract_paper_features.py,structure_timing,Timing / participation / dialogue structure,paper_82,summary,False,,same column name in Phonova summary schema
6,mean_pause_variability,mean_pause_variability,summary-level CSV from speech_characteristics / extract_paper_features.py,structure_timing,Timing / participation / dialogue structure,paper_82,summary,False,,same column name in Phonova summary schema
7,speech_percentage,speech_percentage,summary-level CSV from speech_characteristics / extract_paper_features.py,structure_timing,Timing / participation / dialogue structure,paper_82,summary,False,,same column name in Phonova summary schema
8,sentiment_pos,sentiment_pos,summary-level CSV from speech_characteristics / extract_paper_features.py,sentiment,Sentiment / VADER distribution,paper_82,summary,True,,same column name in Phonova summary schema
9,sentiment_neg,sentiment_neg,summary-level CSV from speech_characteristics / extract_paper_features.py,sentiment,Sentiment / VADER distribution,paper_82,summary,True,,same column name in Phonova summary schema
10,sentiment_neu,sentiment_neu,summary-level CSV from speech_characteristics / extract_paper_features.py,sentiment,Sentiment / VADER distribution,paper_82,summary,True,,same column name in Phonova summary schema
11,sentiment_overall,sentiment_overall,summary-level CSV from speech_characteristics / extract_paper_features.py,sentiment,Sentiment / VADER distribution,paper_82,summary,True,,same column name in Phonova summary schema
12,sentiment_vader_pos,sentiment_vader_pos,summary-level CSV from speech_characteristics / extract_paper_features.py,sentiment,Sentiment / VADER distribution,paper_82,summary,True,,same column name in Phonova summary schema
13,sentiment_vader_neg,sentiment_vader_neg,summary-level CSV from speech_characteristics / extract_paper_features.py,sentiment,Sentiment / VADER distribution,paper_82,summary,True,,same column name in Phonova summary schema
14,sentiment_vader_neu,sentiment_vader_neu,summary-level CSV from speech_characteristics / extract_paper_features.py,sentiment,Sentiment / VADER distribution,paper_82,summary,True,,same column name in Phonova summary schema
15,sentiment_vader_overall,sentiment_vader_overall,summary-level CSV from speech_characteristics / extract_paper_features.py,sentiment,Sentiment / VADER distribution,paper_82,summary,True,,same column name in Phonova summary schema
16,mattr_5,mattr_5,summary-level CSV from speech_characteristics / extract_paper_features.py,lexical_style,Lexical style / morphosyntax,paper_82,summary,False,,same column name in Phonova summary schema
17,mattr_10,mattr_10,summary-level CSV from speech_characteristics / extract_paper_features.py,lexical_style,Lexical style / morphosyntax,paper_82,summary,False,,same column name in Phonova summary schema
18,mattr_25,mattr_25,summary-level CSV from speech_characteristics / extract_paper_features.py,lexical_style,Lexical style / morphosyntax,paper_82,summary,False,,same column name in Phonova summary schema
19,mattr_50,mattr_50,summary-level CSV from speech_characteristics / extract_paper_features.py,lexical_style,Lexical style / morphosyntax,paper_82,summary,False,,same column name in Phonova summary schema
20,mattr_100,mattr_100,summary-level CSV from speech_characteristics / extract_paper_features.py,lexical_style,Lexical style / morphosyntax,paper_82,summary,False,,same column name in Phonova summary schema
21,first_person_percentage,first_person_percentage,summary-level CSV from speech_characteristics / extract_paper_features.py,first_person,First-person style and affect,paper_82,summary,False,,same column name in Phonova summary schema
22,prop_verb_past,prop_verb_past,summary-level CSV from speech_characteristics / extract_paper_features.py,lexical_style,Lexical style / morphosyntax,paper_82,summary,False,,same column name in Phonova summary schema
23,prop_function_words,prop_function_words,summary-level CSV from speech_characteristics / extract_paper_features.py,lexical_style,Lexical style / morphosyntax,paper_82,summary,False,,same column name in Phonova summary schema
24,first_person_sentiment_positive,first_person_sentiment_positive,summary-level CSV from speech_characteristics / extract_paper_features.py,first_person,First-person style and affect,paper_82,summary,True,,same column name in Phonova summary schema
25,first_person_sentiment_negative,first_person_sentiment_negative,summary-level CSV from speech_characteristics / extract_paper_features.py,first_person,First-person style and affect,paper_82,summary,True,,same column name in Phonova summary schema
26,first_person_sentiment_overall,first_person_sentiment_overall,summary-level CSV from speech_characteristics / extract_paper_features.py,first_person,First-person style and affect,paper_82,summary,True,,same column name in Phonova summary schema
27,word_repeat_percentage,word_repeat_percentage,summary-level CSV from speech_characteristics / extract_paper_features.py,other,Other,paper_82,summary,False,,same column name in Phonova summary schema
28,phrase_repeat_percentage,phrase_repeat_percentage,summary-level CSV from speech_characteristics / extract_paper_features.py,other,Other,paper_82,summary,False,,same column name in Phonova summary schema
29,word_coherence_mean,word_coherence_mean,summary-level CSV from speech_characteristics / extract_paper_features.py,coherence,Discourse coherence / similarity,paper_82,summary,False,,same column name in Phonova summary schema
30,num_turns,num_turns,summary-level CSV from speech_characteristics / extract_paper_features.py,structure_timing,Timing / participation / dialogue structure,paper_82,summary,False,,same column name in Phonova summary schema
31,num_phrases,num_phrases,summary-level CSV from speech_characteristics / extract_paper_features.py,structure_timing,Timing / participation / dialogue structure,paper_82,summary,False,,same column name in Phonova summary schema
32,num_one_word_phrases,num_one_word_phrases,summary-level CSV from speech_characteristics / extract_paper_features.py,structure_timing,Timing / participation / dialogue structure,paper_82,summary,False,,same column name in Phonova summary schema
33,num_one_word_turns,num_one_word_turns,summary-level CSV from speech_characteristics / extract_paper_features.py,structure_timing,Timing / participation / dialogue structure,paper_82,summary,False,,same column name in Phonova summary schema
34,mean_turn_length_minutes,mean_turn_length_minutes,summary-level CSV from speech_characteristics / extract_paper_features.py,structure_timing,Timing / participation / dialogue structure,paper_82,summary,False,,same column name in Phonova summary schema
35,mean_turn_length_words,mean_turn_length_words,summary-level CSV from speech_characteristics / extract_paper_features.py,structure_timing,Timing / participation / dialogue structure,paper_82,summary,False,,same column name in Phonova summary schema
36,mean_phrases_per_turn,mean_phrases_per_turn,summary-level CSV from speech_characteristics / extract_paper_features.py,structure_timing,Timing / participation / dialogue structure,paper_82,summary,False,,same column name in Phonova summary schema
37,mean_pre_turn_pause,mean_pre_turn_pause,summary-level CSV from speech_characteristics / extract_paper_features.py,structure_timing,Timing / participation / dialogue structure,paper_82,summary,False,,same column name in Phonova summary schema
38,speaker_percentage,speaker_percentage,summary-level CSV from speech_characteristics / extract_paper_features.py,structure_timing,Timing / participation / dialogue structure,paper_82,summary,False,,same column name in Phonova summary schema
39,first_order_sentence_tangeniality_mean,first_order_sentence_tangeniality_mean,summary-level CSV from speech_characteristics / extract_paper_features.py,coherence,Discourse coherence / similarity,paper_82,summary,False,legacy packaged spelling retained,same column name in Phonova summary schema
40,first_order_sentence_tangeniality_var,first_order_sentence_tangeniality_var,summary-level CSV from speech_characteristics / extract_paper_features.py,coherence,Discourse coherence / similarity,paper_82,summary,False,legacy packaged spelling retained,same column name in Phonova summary schema
41,second_order_sentence_tangeniality_mean,second_order_sentence_tangeniality_mean,summary-level CSV from speech_characteristics / extract_paper_features.py,coherence,Discourse coherence / similarity,paper_82,summary,False,legacy packaged spelling retained,same column name in Phonova summary schema
42,second_order_sentence_tangeniality_var,second_order_sentence_tangeniality_var,summary-level CSV from speech_characteristics / extract_paper_features.py,coherence,Discourse coherence / similarity,paper_82,summary,False,legacy packaged spelling retained,same column name in Phonova summary schema
43,turn_to_turn_tangeniality_mean,turn_to_turn_tangeniality_mean,summary-level CSV from speech_characteristics / extract_paper_features.py,coherence,Discourse coherence / similarity,paper_82,summary,False,legacy packaged spelling retained,same column name in Phonova summary schema
44,turn_to_turn_tangeniality_var,turn_to_turn_tangeniality_var,summary-level CSV from speech_characteristics / extract_paper_features.py,coherence,Discourse coherence / similarity,paper_82,summary,False,legacy packaged spelling retained,same column name in Phonova summary schema
45,turn_to_turn_tangeniality_slope,turn_to_turn_tangeniality_slope,summary-level CSV from speech_characteristics / extract_paper_features.py,coherence,Discourse coherence / similarity,paper_82,summary,False,legacy packaged spelling retained,same column name in Phonova summary schema
46,semantic_perplexity_mean,semantic_perplexity_mean,summary-level CSV from speech_characteristics / extract_paper_features.py,semantic_perplexity,Semantic predictability,paper_82,summary,False,,same column name in Phonova summary schema
47,semantic_perplexity_var,semantic_perplexity_var,summary-level CSV from speech_characteristics / extract_paper_features.py,semantic_perplexity,Semantic predictability,paper_82,summary,False,,same column name in Phonova summary schema
48,num_interrupts,num_interrupts,summary-level CSV from speech_characteristics / extract_paper_features.py,structure_timing,Timing / participation / dialogue structure,paper_82,summary,False,,same column name in Phonova summary schema
49,first_person_sentiment_positive_vader,first_person_sentiment_positive_vader,summary-level CSV from speech_characteristics / extract_paper_features.py,first_person,First-person style and affect,paper_82,summary,True,,same column name in Phonova summary schema
50,first_person_sentiment_negative_vader,first_person_sentiment_negative_vader,summary-level CSV from speech_characteristics / extract_paper_features.py,first_person,First-person style and affect,paper_82,summary,True,,same column name in Phonova summary schema
51,first_person_sentiment_overall_vader,first_person_sentiment_overall_vader,summary-level CSV from speech_characteristics / extract_paper_features.py,first_person,First-person style and affect,paper_82,summary,True,,same column name in Phonova summary schema
52,turn_to_previous_speaker_turn_similarity_mean,turn_to_previous_speaker_turn_similarity_mean,summary-level CSV from speech_characteristics / extract_paper_features.py,coherence,Discourse coherence / similarity,paper_82,summary,False,,same column name in Phonova summary schema
53,turn_to_previous_speaker_turn_similarity_var,turn_to_previous_speaker_turn_similarity_var,summary-level CSV from speech_characteristics / extract_paper_features.py,coherence,Discourse coherence / similarity,paper_82,summary,False,,same column name in Phonova summary schema
54,turn_to_previous_speaker_turn_similarity_slope,turn_to_previous_speaker_turn_similarity_slope,summary-level CSV from speech_characteristics / extract_paper_features.py,coherence,Discourse coherence / similarity,paper_82,summary,False,,same column name in Phonova summary schema
55,vader_hist_bin_01,vader_hist_bin_01,summary-level CSV from speech_characteristics / extract_paper_features.py,sentiment,Sentiment / VADER distribution,paper_82,summary,True,,same column name in Phonova summary schema
56,vader_hist_bin_02,vader_hist_bin_02,summary-level CSV from speech_characteristics / extract_paper_features.py,sentiment,Sentiment / VADER distribution,paper_82,summary,True,,same column name in Phonova summary schema
57,vader_hist_bin_03,vader_hist_bin_03,summary-level CSV from speech_characteristics / extract_paper_features.py,sentiment,Sentiment / VADER distribution,paper_82,summary,True,,same column name in Phonova summary schema
58,vader_hist_bin_04,vader_hist_bin_04,summary-level CSV from speech_characteristics / extract_paper_features.py,sentiment,Sentiment / VADER distribution,paper_82,summary,True,,same column name in Phonova summary schema
59,vader_hist_bin_05,vader_hist_bin_05,summary-level CSV from speech_characteristics / extract_paper_features.py,sentiment,Sentiment / VADER distribution,paper_82,summary,True,,same column name in Phonova summary schema
60,vader_hist_bin_06,vader_hist_bin_06,summary-level CSV from speech_characteristics / extract_paper_features.py,sentiment,Sentiment / VADER distribution,paper_82,summary,True,,same column name in Phonova summary schema
61,vader_hist_bin_07,vader_hist_bin_07,summary-level CSV from speech_characteristics / extract_paper_features.py,sentiment,Sentiment / VADER distribution,paper_82,summary,True,,same column name in Phonova summary schema
