target,selection_view,family,family_label,model,n_features,feature,signed_coef,abs_coef,coef_rank_abs
Depression,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,sentiment_overall,-0.2333118250373245,0.2333118250373245,1
Depression,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,vader_hist_bin_08,0.1019624335052331,0.1019624335052331,2
Depression,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,vader_hist_bin_13,0.0952512447128409,0.0952512447128409,3
Depression,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,vader_pos_tail_mass,-0.0887976839804943,0.0887976839804943,4
Depression,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,vader_hist_bin_10,0.0783773030111976,0.0783773030111976,5
Depression,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,first_person_sentiment_positive,-0.0760567842501569,0.0760567842501569,6
Depression,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,first_person_sentiment_negative,0.0755733052892343,0.0755733052892343,7
Depression,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,sentiment_pos,-0.0737143804212577,0.0737143804212577,8
Depression,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,vader_hist_bin_20,-0.0719876061326327,0.0719876061326327,9
Depression,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,first_person_sentiment_overall,-0.0707890015534975,0.0707890015534975,10
