target,family,model,n_features,official_test_pr,official_test_f1,official_test_f1_binary,official_test_accuracy,official_test_roc
Depression_label,logreg_l2_liblinear,logreg_l2_liblinear_C0.02_bal,82,0.7290024732412276,0.7888386123680242,0.7058823529411765,0.8214285714285714,0.7873303167420815
Depression_label,logreg_l1_liblinear,logreg_l1_liblinear_C0.1_cwpos2.2,82,0.7248886509451187,0.7543859649122807,0.6666666666666667,0.7857142857142857,0.7918552036199095
Depression_label,logreg_l2_lbfgs,logreg_l2_lbfgs_C0.01_bal,82,0.7025942310388398,0.7375,0.625,0.7857142857142857,0.7647058823529412
Depression_label,svc_linear,svc_linear_C0.01_bal,82,0.6897646973208961,0.7637130801687764,0.6666666666666667,0.8035714285714286,0.7767722473604827
Depression_label,logreg_elasticnet_saga,logreg_elasticnet_C0.1_l1r0.85_cwpos1.8,82,0.6810179447679109,0.7610241820768137,0.6842105263157895,0.7857142857142857,0.7812971342383106
Depression_label,lda,lda_lsqr_auto,82,0.6762054123618885,0.7637130801687764,0.6666666666666667,0.8035714285714286,0.7631975867269984
Depression_label,extra_trees,et_md5_ml2_mf0.5_cwpos1.8,82,0.647835353610657,0.625668449197861,0.5454545454545455,0.6428571428571429,0.746606334841629
Depression_label,xgboost,xgb_lr0.05_md2_spw3.47,82,0.6448210490234899,0.6510178645616951,0.4827586206896552,0.7321428571428571,0.7405731523378583
Depression_label,random_forest,rf_md5_ml2_mf0.5_cwpos1.8,82,0.6131940556863157,0.6729646169701133,0.5853658536585366,0.6964285714285714,0.7601809954751132
Depression_label,hist_gradient_boosting,hgb_lr0.03_md3_ln15,82,0.575362261983509,0.5902439024390245,0.4000000000000001,0.6785714285714286,0.7058823529411765
PTSD_label,logreg_l2_liblinear,logreg_l2_liblinear_C0.005_cwpos3.2,82,0.7439755267542281,0.7213930348258707,0.6666666666666666,0.7321428571428571,0.8068027210884353
PTSD_label,logreg_elasticnet_saga,logreg_elasticnet_C0.1_l1r0.5_bal,82,0.7180428759292989,0.7333333333333334,0.6666666666666666,0.75,0.7727891156462585
PTSD_label,logreg_l1_liblinear,logreg_l1_liblinear_C0.1_cwpos2.4,82,0.7096150603586262,0.7333333333333334,0.6666666666666666,0.75,0.7687074829931972
PTSD_label,logreg_l2_lbfgs,logreg_l2_lbfgs_C0.005_cwpos2.4,82,0.6587218129120469,0.729990356798457,0.7058823529411764,0.7321428571428571,0.7755102040816326
PTSD_label,extra_trees,et_mdNone_ml1_mfsqrt_bal,82,0.654022205737131,0.6579877852780457,0.6274509803921569,0.6607142857142857,0.7428571428571429
PTSD_label,hist_gradient_boosting,hgb_lr0.03_md3_ln15,82,0.6295833148414971,0.7083333333333333,0.6666666666666666,0.7142857142857143,0.7673469387755101
PTSD_label,random_forest,rf_md5_ml2_mf0.5_cwpos2.4,82,0.6169229781106946,0.6952380952380952,0.6190476190476191,0.7142857142857143,0.7387755102040816
PTSD_label,xgboost,xgb_lr0.03_md2_spw1.0,82,0.6041410404236345,0.7417654808959158,0.6956521739130435,0.75,0.7768707482993198
PTSD_label,svc_linear,svc_linear_C0.01_bal,82,0.5815885441825291,0.7168857431749242,0.6511627906976744,0.7321428571428571,0.746938775510204
PTSD_label,lda,lda_lsqr_auto,82,0.518733702265694,0.7083333333333333,0.6666666666666666,0.7142857142857143,0.7183673469387755
