target,selection_view,family,family_label,model,n_features,feature,signed_coef,abs_coef,coef_rank_abs
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,sentiment_overall,-0.23331182503732456,0.23331182503732456,1
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,vader_hist_bin_08,0.10196243350523318,0.10196243350523318,2
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,vader_hist_bin_13,0.09525124471284098,0.09525124471284098,3
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,vader_pos_tail_mass,-0.08879768398049438,0.08879768398049438,4
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,vader_hist_bin_10,0.07837730301119769,0.07837730301119769,5
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,first_person_sentiment_positive,-0.07605678425015695,0.07605678425015695,6
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,first_person_sentiment_negative,0.07557330528923438,0.07557330528923438,7
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,sentiment_pos,-0.07371438042125772,0.07371438042125772,8
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,vader_hist_bin_20,-0.07198760613263276,0.07198760613263276,9
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,first_person_sentiment_overall,-0.07078900155349759,0.07078900155349759,10
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,vader_hist_bin_21,-0.06991835153203965,0.06991835153203965,11
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,vader_hist_bin_18,-0.06872311301826584,0.06872311301826584,12
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,vader_hist_bin_22,-0.06854472565819604,0.06854472565819604,13
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,sentiment_neg,0.066989354737873,0.066989354737873,14
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,vader_hist_bin_14,-0.06525629150307308,0.06525629150307308,15
Depression_label,best_ua,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,sentiment_overall,-0.23331182503732456,0.23331182503732456,1
Depression_label,best_ua,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,vader_hist_bin_08,0.10196243350523318,0.10196243350523318,2
Depression_label,best_ua,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,vader_hist_bin_13,0.09525124471284098,0.09525124471284098,3
Depression_label,best_ua,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,vader_pos_tail_mass,-0.08879768398049438,0.08879768398049438,4
Depression_label,best_ua,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,vader_hist_bin_10,0.07837730301119769,0.07837730301119769,5
Depression_label,best_ua,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,first_person_sentiment_positive,-0.07605678425015695,0.07605678425015695,6
Depression_label,best_ua,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,first_person_sentiment_negative,0.07557330528923438,0.07557330528923438,7
Depression_label,best_ua,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,sentiment_pos,-0.07371438042125772,0.07371438042125772,8
Depression_label,best_ua,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,vader_hist_bin_20,-0.07198760613263276,0.07198760613263276,9
Depression_label,best_ua,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,first_person_sentiment_overall,-0.07078900155349759,0.07078900155349759,10
Depression_label,best_ua,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,vader_hist_bin_21,-0.06991835153203965,0.06991835153203965,11
Depression_label,best_ua,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,vader_hist_bin_18,-0.06872311301826584,0.06872311301826584,12
Depression_label,best_ua,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,vader_hist_bin_22,-0.06854472565819604,0.06854472565819604,13
Depression_label,best_ua,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,sentiment_neg,0.066989354737873,0.066989354737873,14
Depression_label,best_ua,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,vader_hist_bin_14,-0.06525629150307308,0.06525629150307308,15
PTSD_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.005_cwpos3.2,82,sentiment_overall,-0.11548703645745947,0.11548703645745947,1
PTSD_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.005_cwpos3.2,82,sentiment_vader_neg,0.05449332025918893,0.05449332025918893,2
PTSD_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.005_cwpos3.2,82,vader_neg_tail_mass,0.04671087493882429,0.04671087493882429,3
PTSD_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.005_cwpos3.2,82,sentiment_neg,0.040465957077067675,0.040465957077067675,4
PTSD_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.005_cwpos3.2,82,vader_hist_bin_10,0.0390078635703424,0.0390078635703424,5
PTSD_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.005_cwpos3.2,82,first_person_sentiment_negative_vader,0.03886980936421676,0.03886980936421676,6
PTSD_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.005_cwpos3.2,82,vader_pos_tail_mass,-0.038762555465531645,0.038762555465531645,7
PTSD_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.005_cwpos3.2,82,first_person_sentiment_negative,0.0376887945941684,0.0376887945941684,8
